,S,K,r,v,t,premium,optype
80,2011.48,6400.0,0,340.91,0.0009523401826484018,0.0,C
81,2011.48,6400.0,0,350.0,0.0009523401826484018,2.179303,P
82,2011.48,6600.0,0,350.0,0.0009523401826484018,0.0,C
83,2011.48,6600.0,0,350.0,0.0009523401826484018,2.278656,P
84,2011.48,6800.0,0,350.0,0.0009523401826484018,0.0,C
85,2011.48,6800.0,0,350.0,0.0009523401826484018,2.378009,P
86,2011.48,7000.0,0,350.0,0.0009523084728564181,0.0,C
87,2011.48,7000.0,0,350.0,0.0009523084728564181,2.477362,P
88,2011.48,7200.0,0,350.0,0.0009523084728564181,0.0,C
89,2011.48,7200.0,0,350.0,0.0009523084728564181,2.576716,P
90,2011.48,7400.0,0,350.0,0.0009523084728564181,0.0,C
91,2011.48,7400.0,0,350.0,0.0009523084728564181,2.676069,P
92,2011.48,7600.0,0,350.0,0.0009523084728564181,0.0,C
93,2011.48,7600.0,0,350.0,0.0009523084728564181,2.775422,P
94,2011.48,7800.0,0,359.09,0.0009523084728564181,0.0,C
95,2011.48,7800.0,0,359.09,0.0009523084728564181,2.874737,P
96,2011.48,8000.0,0,359.09,0.0009523084728564181,0.0,C
97,2011.48,8000.0,0,359.09,0.0009523084728564181,2.974089,P
98,2011.48,8200.0,0,359.09,0.0009523084728564181,0.0,C
99,2011.48,8200.0,0,359.09,0.0009522767630644343,3.073441,P
100,2011.48,9000.0,0,359.09,0.0009522767630644343,0.0,C
101,2011.48,9000.0,0,359.09,0.0009522767630644343,3.47085,P
102,2011.48,10000.0,0,359.09,0.0009522767630644343,0.0,C
103,2011.48,10000.0,0,359.09,0.0009522767630644343,3.967611,P
104,2011.48,11000.0,0,359.09,0.0009522767630644343,0.0,C
105,2011.48,11000.0,0,359.09,0.0009522767630644343,4.464372,P
106,2011.48,12000.0,0,350.0,0.0009522767630644343,0.0,C
107,2011.48,12000.0,0,350.0,0.0009522767630644343,4.961163,P
108,2011.48,13000.0,0,300.0,0.0009522767630644343,0.0,C
109,2011.48,13000.0,0,300.0,0.0009522767630644343,5.457927,P
110,2011.48,14000.0,0,300.0,0.0009522767630644343,0.0,C
111,2011.48,14000.0,0,300.0,0.0009522767630644343,5.95469,P
112,2011.48,15000.0,0,300.0,0.0009522450532724506,0.0,C
113,2011.48,15000.0,0,300.0,0.0009522450532724506,6.451454,P
114,2011.48,16000.0,0,300.0,0.0009522450532724506,0.0,C
